Character,Pinyin,Meaning,Remarks
计划,Jìhuà,Plan,
拜访,Bàifǎng,Visit,
年假,Niánjià,Annual leave,
自由,Zìyóu,Free,
同居,Tóngjū,Live together/Cohabitate,
生活习惯,Shēnghuó xíguàn,Living habit,
去年,Qùnián,Last year,
明年,Míngnián,Next year,
政府住宅,Zhèngfǔ zhùzhái,Government housing,
开放式,Kāifàngshì,Open-style,
再卖,Zàimài,Resell,
讨论,Tǎolùn,Discuss,"聊天 is ""chatting"" - less serious"
聊天,Liáotiān,Chat,
租房子,Zū fángzi,Rent house,
订婚,Dìnghūn,Engaged,
省下来,Shěngxiàlái,Save (money),
复杂,fùzá,Complicated,Usually referring to people
单纯,Dānchún,Simple/Pure,Usually referring to people
房贷,Fángdài,House loan/Mortgage,
保护,Bǎohù,Protect,
利率,Lìlǜ,Interest rate,
流行,liúxíng,popular,
荧幕,yíngmù,screen,
回电,huídiàn,call back,
折叠,zhédié,foldable,
退休,tuìxiū,retire,
草莓族,cǎoméizú,strawberry generation (pampered youth),
住,zhù,live/reside,
竹,zhú,bamboo,
顶客族,dǐngkèzú,"DINK (dual income, no kids)",
上班,shàngbān,go to work,
下班,xiàbān,after work/get off work,
一整天,yìzhěngtiān,the whole day,
散步,sànbù,take a walk,
划算,huásuàn,good deal/cost-effective,
便当,biàndāng,lunch box/bento,
吃到饱餐厅,chīdàobǎo cāntīng,all-you-can-eat / buffet restaurant,
后悔,hòuhuǐ,regret,
冬天,dōngtiān,winter,
热闹,rènào,lively/bustling,
很有秩序,hěn yǒu zhìxù,very orderly,
种族,zhǒngzú,race/ethnicity,
百分比,bǎifēnbǐ,percentage,
百分之九,bǎifēnzhī jiǔ,nine percent,
原住民,yuánzhùmín,indigenous people,
同化,tónghuà,assimilation,
个性,gèxìng,personality,
乐观,lèguān,optimistic,
流动率,liúdònglǜ,turnover rate,
平均值,píngjūnzhí,average value,
离职率,lízhílǜ,resignation rate,
顾问公司,gùwèn gōngsī,consulting company,
卖肝,màigān,"overwork (literally ""sell liver"")",
值得,zhídé,worthy/worthwhile,
创业,chuàngyè,start a business/entrepreneurship,
种类,zhǒnglèi,type/category,
独立型,dúlìxíng,independent type,
压力,yā lì,stress,
竞争,jìng zhēng,"competition (noun / verb)](<competition, rivalry, to compete (abstract competitive process or relationship, e.g., 市场竞争 - market competition) {noun/verb}>)   Different from 比赛 - an actual competition **event**",
纪录片,jì lù piàn,documentary,
报纸,bào zhǐ,newspaper,
新鲜人,xīn xiān rén,fresh graduates,
移民,yí mín,immigrant,
公民,gōng mín,citizen,
品质,pǐn zhì,quality,
政策,zhèng cè,policy (eg. Govt Policy),
失业率,shī yè lǜ,unemployment rate,
硕士,shuò shì,master's degree (holder),
稳定,wěn dìng,stable; steady; reliable,
目的,mùdì,Purpose; intent; goal,
懒,lǎn,lazy,
免烫,miǎntàng,"wrinkle-free, no-iron",
通常,tōngcháng,usually,
保留,bǎoliú,"to keep, to retain",
资深,zīshēn,senior (at work),
弹性,tánxìng,Flexible (schedule/material/rules/thinking/etc),
严,yán,strict,
办公室,bàngōngshì,office,
福利,fúlì,"welfare, benefits",
解雇,jiěgù,to fire (from a job),
保守,bǎoshǒu,conservative,
官方,guānfāng,official (e.g. Govt Official),
敏感,mǐngǎn,sensitive,
惊讶,jīngyà,surprised,
离职,lízhí,resign,
责任,zérén,responsibility/duty,
担责任的老板,dān zérén de lǎobǎn,responsible boss,
属下,shǔxià,subordinate,
面试,miànshì,interview (e.g. job),
实话,shíhuà,truth/true words,
成长,chéngzhǎng,grow/develop,
焦虑,jiāolǜ,anxious/worried,
租金,zūjīn,rent/rental payment,
养,yǎng,raise/support/keep,
本地人,běndìrén,local people,
土地,tǔdì,land (Ground / Territory),
安排,ānpái,arrange/arrangement,
帮派,bāngpài,gang/faction,
合法,héfǎ,legal,
赌博,dǔbó,gamble/gambling,
上瘾,shàngyǐn,addicted,
丢脸,diūliǎn,lose face/embarrassing,
不文明,bù wénmíng,uncivilized/impolite,
法律,fǎlǜ,law,
冲突,chōngtū,conflict (Noun / Verb),
种族歧视,zhǒngzú qíshì,racial discrimination,
低阶,dījiē,low level/rank,
教育,jiàoyù,education,
少子化,shǎozǐhuà,declining birth rate,
专长,zhuāncháng,specialty/expertise,
奖学金,jiǎngxuéjīn,scholarship,
生活方式,shēnghuó fāngshì,lifestyle/way of life,
信仰,xìnyǎng,belief/faith,
文化,wénhuà,culture,
教授,jiàoshòu,professor,
公家,gōngjiā,public sector,
幼儿园,yòu'éryuán,kindergarten,
同事,tóngshì,coworker/colleague,
